time,icao24,lat,lon,velocity,altitude
1645416340,a98909,39.08207703,-76.95116789,127.6287768,1889.76
1645416350,a98909,39.07772827,-76.96496051,127.1519922,1798.32
1645416360,a98909,39.07337952,-76.97869342,127.1519922,1714.5
1645416370,a98909,39.0692449,-76.99188232,126.7684383,1630.68
1645416380,a98909,39.06491554,-77.00592041,127.2466601,1539.24
1645416390,a98909,39.06077239,-77.01940918,126.5793618,1485.9
1645416400,a98909,39.05672235,-77.03265381,126.100708,1463.04
1645416410,a98909,39.05239299,-77.04663086,126.5793618,1455.42
1645416420,a98909,39.04833984,-77.06001613,127.0582952,1455.42
1645416430,a98909,39.04417419,-77.07362963,126.8717366,1455.42
1645416440,a98909,39.04124451,-77.08789991,126.5992228,1455.42
1645416450,a98909,39.04202271,-77.10193136,127.1519922,1455.42
1645416460,a98909,39.04764466,-77.11517334,129.7643564,1455.42
1645416470,a98909,39.05575562,-77.12623264,130.9883936,1463.04
1645416480,a98909,39.06463623,-77.13644276,131.5860869,1455.42
1645416490,a98909,39.07348116,-77.14648438,131.1196556,1455.42
1645416500,a98909,39.08092951,-77.15777588,128.5873334,1455.42
1645416510,a98909,39.08493301,-77.17102051,126.1174969,1455.42
1645416520,a98909,39.08514404,-77.18546328,121.6320131,1455.42
1645416530,a98909,39.08335876,-77.19931561,115.5393581,1455.42
1645416540,a98909,39.08152771,-77.21179465,109.4702503,1463.04
1645416550,a98909,39.07953295,-77.22387695,103.9558823,1463.04
1645416560,a98909,39.0753898,-77.23394775,100.5168813,1463.04
1645416570,a98909,39.06850007,-77.2409668,98.54926449,1455.42
1645416580,a98909,39.06010437,-77.24576867,98.58551188,1409.7
1645416590,a98909,39.05140686,-77.2474405,99.8869567,1363.98
1645416600,a98909,39.04275513,-77.24529101,100.7378036,1325.88
1645416610,a98909,39.0350647,-77.23937988,101.1729694,1295.4
1645416620,a98909,39.0284729,-77.23114014,97.48951337,1280.16
1645416630,a98909,39.02220154,-77.22337806,95.70456019,1226.82
1645416640,a98909,39.0160675,-77.21603394,94.99957529,1181.1
1645416650,a98909,39.00970459,-77.20831299,94.97728604,1104.9
1645416660,a98909,39.00370789,-77.20104715,93.87722061,1066.8
1645416670,a98909,38.99766541,-77.1935239,94.58217681,990.6
1645416680,a98909,38.99173543,-77.18591309,92.03372966,937.26
1645416690,a98909,38.98608398,-77.17805945,92.41252994,876.3
1645416700,a98909,38.98079565,-77.16967773,94.00258844,815.34
1645416710,a98909,38.9754887,-77.16113281,94.97728604,739.14
1645416720,a98909,38.97033691,-77.15232517,91.98626995,723.9
1645416730,a98909,38.96538686,-77.14434814,88.40207851,723.9
1645416740,a98909,38.95898438,-77.13853256,85.84435018,701.04
1645416750,a98909,38.95252991,-77.1338156,84.29506771,655.32
1645416760,a98909,38.94598389,-77.12909864,79.95260849,601.98
1645416770,a98909,38.93978313,-77.12457275,78.55005662,556.26
1645416780,a98909,38.93385315,-77.12032152,74.85116004,502.92
1645416790,a98909,38.9281311,-77.11620165,68.40557825,472.44
